day_order,day,tray_no,tray,logical_key,sequence,capture_id,source_d,source_ms_g,source_ms_r,source_ms_re,source_ms_nir,bands_found,missing_bands,complete_set
1,Day 1,1,Tray 1,0001,0001,DJI_20260618123542_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123542_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123542_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123542_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123542_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123542_0001_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,2,Tray 2,0002,0002,DJI_20260618123812_0002,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123812_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123812_0002_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123812_0002_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123812_0002_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618123812_0002_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,3,Tray 3,0003,0003,DJI_20260618124121_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124121_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124121_0003_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124121_0003_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124121_0003_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124121_0003_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,4,Tray 4,0004,0004,DJI_20260618124235_0004,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124235_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124235_0004_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124235_0004_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124235_0004_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124235_0004_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,5,Tray 5,0005,0005,DJI_20260618124331_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124331_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124331_0005_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124331_0005_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124331_0005_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124331_0005_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,6,Tray 6,0006,0006,DJI_20260618124449_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124449_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124449_0006_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124449_0006_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124449_0006_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124449_0006_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,7,Tray 7,0007,0007,DJI_20260618124541_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124541_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124541_0007_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124541_0007_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124541_0007_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124541_0007_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
1,Day 1,8,Tray 8,0008,0008,DJI_20260618124632_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124632_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124632_0008_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124632_0008_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124632_0008_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 1\DJI_20260618124632_0008_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
2,Day 2,1,Tray 1,0001,0001,DJI_20260620131000_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131000_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131000_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131000_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131000_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131000_0001_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
2,Day 2,2,Tray 2,0002,0002,DJI_20260620131052_0002,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131052_0002_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131052_0002_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131052_0002_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131052_0002_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Second Trial\Day 2\DJI_20260620131052_0002_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True
