day_order,day,tray_no,tray,capture_id,band,path,width,height,shape,dtype,coverage_percent,readable,error
1,Day 1,1,Tray 1,DJI_20260618123542_0001,D,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_D.JPG,1200,840,"(840, 1200, 3)",uint8,99.99801587301587,True,
1,Day 1,1,Tray 1,DJI_20260618123542_0001,MS_G,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_G.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,1,Tray 1,DJI_20260618123542_0001,MS_NIR,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_NIR.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,1,Tray 1,DJI_20260618123542_0001,MS_R,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_R.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,1,Tray 1,DJI_20260618123542_0001,MS_RE,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 1\DJI_20260618123542_0001_MS_RE.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,2,Tray 2,DJI_20260618123812_0002,D,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_D.JPG,1200,840,"(840, 1200, 3)",uint8,99.99791666666667,True,
1,Day 1,2,Tray 2,DJI_20260618123812_0002,MS_G,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_G.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,2,Tray 2,DJI_20260618123812_0002,MS_NIR,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_NIR.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,2,Tray 2,DJI_20260618123812_0002,MS_R,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_R.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,2,Tray 2,DJI_20260618123812_0002,MS_RE,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 2\DJI_20260618123812_0002_MS_RE.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,3,Tray 3,DJI_20260618124121_0003,D,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_D.JPG,1200,840,"(840, 1200, 3)",uint8,99.98928571428571,True,
1,Day 1,3,Tray 3,DJI_20260618124121_0003,MS_G,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_G.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,3,Tray 3,DJI_20260618124121_0003,MS_NIR,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_NIR.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,3,Tray 3,DJI_20260618124121_0003,MS_R,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_R.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,3,Tray 3,DJI_20260618124121_0003,MS_RE,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 3\DJI_20260618124121_0003_MS_RE.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,4,Tray 4,DJI_20260618124235_0004,D,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_D.JPG,1200,840,"(840, 1200, 3)",uint8,99.9999007936508,True,
1,Day 1,4,Tray 4,DJI_20260618124235_0004,MS_G,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_G.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,4,Tray 4,DJI_20260618124235_0004,MS_NIR,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_NIR.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,4,Tray 4,DJI_20260618124235_0004,MS_R,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_R.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,4,Tray 4,DJI_20260618124235_0004,MS_RE,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 4\DJI_20260618124235_0004_MS_RE.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,6,Tray 6,DJI_20260618124449_0006,D,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_D.JPG,1200,840,"(840, 1200, 3)",uint8,99.98561507936508,True,
1,Day 1,6,Tray 6,DJI_20260618124449_0006,MS_G,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_MS_G.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
1,Day 1,6,Tray 6,DJI_20260618124449_0006,MS_NIR,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\01_Crop_Dual_Reference\Day 1\Tray 6\DJI_20260618124449_0006_MS_NIR.TIF,1200,840,"(840, 1200)",uint16,100.0,True,
