day_order,day,tray_no,tray,capture_id,missing_bands,unreadable_bands,all_standard_size,ms_dimensions_match,lowest_coverage_percent,preview_path,status
1,Day 1,1,Tray 1,DJI_20260618123542_0001,,,True,True,99.998,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_1_five_band_preview.jpg,PASS
1,Day 1,2,Tray 2,DJI_20260618123812_0002,,,True,True,99.998,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_2_five_band_preview.jpg,PASS
1,Day 1,3,Tray 3,DJI_20260618124121_0003,,,True,True,99.989,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_3_five_band_preview.jpg,PASS
1,Day 1,4,Tray 4,DJI_20260618124235_0004,,,True,True,100.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_4_five_band_preview.jpg,PASS
1,Day 1,5,Tray 5,DJI_20260618124331_0005,"D, MS_G, MS_R, MS_RE, MS_NIR",,True,False,0.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_5_five_band_preview.jpg,FAIL
1,Day 1,6,Tray 6,DJI_20260618124449_0006,,,True,True,99.986,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_6_five_band_preview.jpg,PASS
1,Day 1,7,Tray 7,DJI_20260618124541_0007,,,True,True,99.989,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_7_five_band_preview.jpg,PASS
1,Day 1,8,Tray 8,DJI_20260618124632_0008,,,True,True,99.994,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_1_Tray_8_five_band_preview.jpg,PASS
2,Day 2,1,Tray 1,DJI_20260620131000_0001,,,True,True,99.99,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_1_five_band_preview.jpg,PASS
2,Day 2,2,Tray 2,DJI_20260620131052_0002,,,True,True,99.987,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_2_five_band_preview.jpg,PASS
2,Day 2,3,Tray 3,DJI_20260620131152_0003,,,True,True,99.998,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_3_five_band_preview.jpg,PASS
2,Day 2,4,Tray 4,DJI_20260620131233_0004,,,True,True,100.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_4_five_band_preview.jpg,PASS
2,Day 2,5,Tray 5,DJI_20260620131340_0005,,,True,True,99.968,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_5_five_band_preview.jpg,PASS
2,Day 2,6,Tray 6,DJI_20260620131437_0006,,,True,True,100.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_6_five_band_preview.jpg,PASS
2,Day 2,7,Tray 7,DJI_20260620131539_0007,,,True,True,99.999,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_7_five_band_preview.jpg,PASS
2,Day 2,8,Tray 8,DJI_20260620131623_0008,,,True,True,99.937,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_2_Tray_8_five_band_preview.jpg,PASS
3,Day 3,4,Tray 4,DJI_20260621125808_0004,"D, MS_G, MS_R, MS_RE, MS_NIR",,True,False,0.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_3_Tray_4_five_band_preview.jpg,FAIL
3,Day 3,5,Tray 5,DJI_20260621125931_0005,,,True,True,99.998,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_3_Tray_5_five_band_preview.jpg,PASS
3,Day 3,7,Tray 7,DJI_20260621130015_0007,,,True,True,100.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_3_Tray_7_five_band_preview.jpg,PASS
3,Day 3,9,Tray 9,DJI_20260621130058_0009,,,True,True,99.991,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_3_Tray_9_five_band_preview.jpg,PASS
4,Day 4,1,Tray 1,DJI_20260622122222_0001,,,True,True,99.967,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_1_five_band_preview.jpg,PASS
4,Day 4,2,Tray 2,DJI_20260622122329_0002,,,True,True,99.984,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_2_five_band_preview.jpg,PASS
4,Day 4,3,Tray 3,DJI_20260622122437_0003,,,True,True,99.999,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_3_five_band_preview.jpg,PASS
4,Day 4,5,Tray 5,DJI_20260622122624_0005,,,True,True,99.982,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_5_five_band_preview.jpg,PASS
4,Day 4,6,Tray 6,DJI_20260622122657_0006,,,True,True,100.0,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_6_five_band_preview.jpg,PASS
4,Day 4,7,Tray 7,DJI_20260622122752_0007,,,True,True,99.999,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_7_five_band_preview.jpg,PASS
4,Day 4,8,Tray 8,DJI_20260622122838_0008,,,True,True,99.987,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_4_Tray_8_five_band_preview.jpg,PASS
9,Day 9,1,Tray 1,DJI_20260627101229_0001,,,True,True,99.899,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_9_Tray_1_five_band_preview.jpg,PASS
9,Day 9,3,Tray 3,DJI_20260627101610_0003,,,True,True,99.998,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_9_Tray_3_five_band_preview.jpg,PASS
9,Day 9,5,Tray 5,DJI_20260627101808_0005,,,True,True,99.793,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\02_Crop_Quality_Check\previews\Day_9_Tray_5_five_band_preview.jpg,PASS
