day_order,day,tray_no,tray,capture_id,total_cells,raw_green_cells,tracked_emerged_cells,newly_emerged_today,tracked_emergence_percent,mean_green_cover_percent,total_green_pixels,overlay_path,mask_path
1,Day 1,1,Tray 1,DJI_20260618123542_0001,70,4,4,4,5.714285714285714,0.02295436132865244,136,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 1\DJI_20260618123542_0001_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 1\DJI_20260618123542_0001_rgb_green_mask.png
1,Day 1,2,Tray 2,DJI_20260618123812_0002,70,5,5,5,7.142857142857142,0.049115581960572516,291,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 2\DJI_20260618123812_0002_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 2\DJI_20260618123812_0002_rgb_green_mask.png
1,Day 1,3,Tray 3,DJI_20260618124121_0003,70,21,21,21,30.0,0.47782203618687547,2831,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 3\DJI_20260618124121_0003_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 3\DJI_20260618124121_0003_rgb_green_mask.png
1,Day 1,4,Tray 4,DJI_20260618124235_0004,70,10,10,10,14.285714285714285,0.11899135835808802,705,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 4\DJI_20260618124235_0004_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 4\DJI_20260618124235_0004_rgb_green_mask.png
1,Day 1,5,Tray 5,DJI_20260618124331_0005,70,2,2,2,2.857142857142857,0.021266540642722116,126,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 5\DJI_20260618124331_0005_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 5\DJI_20260618124331_0005_rgb_green_mask.png
1,Day 1,6,Tray 6,DJI_20260618124449_0006,70,18,18,18,25.71428571428571,0.40102619497704567,2376,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 6\DJI_20260618124449_0006_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 6\DJI_20260618124449_0006_rgb_green_mask.png
1,Day 1,7,Tray 7,DJI_20260618124541_0007,70,18,18,18,25.71428571428571,0.2681947069943289,1589,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 7\DJI_20260618124541_0007_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 7\DJI_20260618124541_0007_rgb_green_mask.png
1,Day 1,8,Tray 8,DJI_20260618124632_0008,70,5,5,5,7.142857142857142,0.0811841749932487,481,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 8\DJI_20260618124632_0008_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 1\Tray 8\DJI_20260618124632_0008_rgb_green_mask.png
2,Day 2,1,Tray 1,DJI_20260620131000_0001,70,20,21,17,30.0,0.38195382122603283,2263,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 1\DJI_20260620131000_0001_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 1\DJI_20260620131000_0001_rgb_green_mask.png
2,Day 2,2,Tray 2,DJI_20260620131052_0002,70,22,26,21,37.142857142857146,0.8194369430191737,4855,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 2\DJI_20260620131052_0002_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 2\DJI_20260620131052_0002_rgb_green_mask.png
2,Day 2,3,Tray 3,DJI_20260620131152_0003,70,17,32,11,45.714285714285715,0.351235484742101,2081,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 3\DJI_20260620131152_0003_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 3\DJI_20260620131152_0003_rgb_green_mask.png
2,Day 2,4,Tray 4,DJI_20260620131233_0004,70,13,22,12,31.428571428571427,0.16236834998649743,962,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 4\DJI_20260620131233_0004_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 4\DJI_20260620131233_0004_rgb_green_mask.png
2,Day 2,5,Tray 5,DJI_20260620131340_0005,70,26,27,25,38.57142857142858,0.9561504185795302,5665,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 5\DJI_20260620131340_0005_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 5\DJI_20260620131340_0005_rgb_green_mask.png
2,Day 2,6,Tray 6,DJI_20260620131437_0006,70,13,29,11,41.42857142857143,0.1372198217661356,813,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 6\DJI_20260620131437_0006_visible_emergence_overlay.jpg,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Second Trial\04_Visible_Emergence\Day 2\Tray 6\DJI_20260620131437_0006_rgb_green_mask.png
