day_order,group,tray_count,mean_emergence_percent,sd_emergence_percent,mean_green_cover_percent,sd_green_cover_percent,group_type
1,Microbes,4,15.357142857142856,12.086704901425767,0.19291790440183634,0.17409219260935674,Treatment
1,No Microbes,4,14.285714285714285,11.126972805283735,0.1672208344585471,0.210998305535815,Treatment
2,Microbes,4,41.78571428571429,2.945075446869759,0.6497265730488794,0.5857948881128321,Treatment
2,No Microbes,4,36.07142857142857,7.130942443748544,0.4287486497434512,0.27796513769763925,Treatment
3,Microbes,2,47.14285714285714,4.040610178208846,0.7324297866594652,0.6834999554171206,Treatment
3,No Microbes,1,32.857142857142854,,0.21232784229003507,,Treatment
3,Unknown,1,47.14285714285714,,1.539123683499865,,Treatment
4,Microbes,4,53.92857142857143,9.574271077563383,0.9916368485012151,0.8654660781637018,Treatment
4,No Microbes,3,45.714285714285715,5.150787536377122,0.7648078134845621,0.2626530094924412,Treatment
9,Microbes,4,63.92857142857143,12.744213039116795,3.19137354847421,2.320019697487385,Treatment
9,No Microbes,2,55.71428571428571,6.060915267313271,2.1366122063192003,1.0865345895088996,Treatment
1,Inside,4,5.7142857142857135,2.020305089104421,0.043630164731298944,0.028095159830202672,Environment
1,Outside,4,23.928571428571427,6.738557951469002,0.3165085741290845,0.15759921907411353,Environment
2,Inside,4,37.85714285714286,6.441785361175564,0.8702825411828248,0.3889773922982746,Environment
2,Outside,4,40.0,6.060915267313265,0.2081926816095058,0.09710319572977733,Environment
3,Inside,1,44.285714285714285,,1.2157372400756141,,Environment
3,Outside,2,41.42857142857143,12.121830534626529,0.23072508776667566,0.026017634063372205,Environment
3,Unknown,1,47.14285714285714,,1.539123683499865,,Environment
4,Inside,4,51.785714285714285,10.777590759767879,1.2954023764515257,0.5549579568327413,Environment
4,Outside,3,48.57142857142858,6.226998490772389,0.35978710955081467,0.15603008404167418,Environment
9,Inside,3,66.19047619047619,13.727176481332927,4.4303042578089835,1.3338622348820488,Environment
9,Outside,3,56.19047619047618,6.598288790738581,1.2492686110360969,0.19304790499389654,Environment
1,Microbes | Inside,2,5.0,3.0304576336566313,0.05122535781798541,0.04236816556191336,Treatment x Environment
1,Microbes | Outside,2,25.71428571428571,0.0,0.3346104509856873,0.09392604590767845,Treatment x Environment
1,No Microbes | Inside,2,6.428571428571429,1.01015254455221,0.03603497164461248,0.0184987765129481,Treatment x Environment
1,No Microbes | Outside,2,22.142857142857142,11.11167799007432,0.29840669727248176,0.25373160559050095,Treatment x Environment
2,Microbes | Inside,2,42.142857142857146,5.050762722761051,1.1398697002430462,0.25981829979798726,Treatment x Environment
2,Microbes | Outside,2,41.42857142857143,0.0,0.1595834458547124,0.03162694048987897,Treatment x Environment
2,No Microbes | Inside,2,33.57142857142857,5.050762722761059,0.6006953821226033,0.3093472820745901,Treatment x Environment
2,No Microbes | Outside,2,38.57142857142857,10.101525445522107,0.2568019173642992,0.13354923172896074,Treatment x Environment
3,Microbes | Inside,1,44.285714285714285,,1.2157372400756141,,Treatment x Environment
3,Microbes | Outside,1,50.0,,0.24912233324331626,,Treatment x Environment
3,No Microbes | Outside,1,32.857142857142854,,0.21232784229003507,,Treatment x Environment
3,Unknown | Unknown,1,47.14285714285714,,1.539123683499865,,Treatment x Environment
4,Microbes | Inside,2,60.714285714285715,5.0507627227610605,1.7067242776127463,0.44110630962487823,Treatment x Environment
4,Microbes | Outside,2,47.142857142857146,8.081220356417688,0.276549419389684,0.0843782902880923,Treatment x Environment
4,No Microbes | Inside,2,42.85714285714286,2.0203050891044168,0.8840804752903052,0.2293848287605563,Treatment x Environment
4,No Microbes | Outside,1,51.42857142857142,,0.5262624898730758,,Treatment x Environment
9,Microbes | Inside,2,73.57142857142857,7.0710678118654755,5.193002295436132,0.261011769250435,Treatment x Environment
9,Microbes | Outside,2,54.285714285714285,8.081220356417688,1.1897448015122873,0.23081699210349424,Treatment x Environment
9,No Microbes | Inside,1,51.42857142857142,,2.9049081825546854,,Treatment x Environment
9,No Microbes | Outside,1,60.0,,1.3683162300837157,,Treatment x Environment
