day_order,day,tray_no,tray,capture_id,cells_processed,cells_with_valid_ndvi,cells_with_valid_ndre,cells_with_valid_gndvi,mean_cell_ndvi,median_cell_ndvi,mean_cell_ndre,median_cell_ndre,mean_cell_gndvi,median_cell_gndvi,status
1,Day 1,1,Tray 1,DJI_20260618123542_0001,70,70,70,70,0.284567106621606,0.2277793437242508,-0.06950533622210579,-0.1470872312784195,0.06363468789828143,-0.14979238063097,PASS
1,Day 1,2,Tray 2,DJI_20260618123812_0002,70,70,70,70,0.28943420009953635,0.21807284653186798,-0.059578606273446764,-0.11595447733998299,0.07492665811275531,-0.054172150790691376,PASS
1,Day 1,3,Tray 3,DJI_20260618124121_0003,70,70,70,70,0.3015112708721842,0.26246294379234314,-0.04587301571986505,-0.12272577732801437,0.08730783689866907,-0.06099279038608074,PASS
1,Day 1,4,Tray 4,DJI_20260618124235_0004,70,70,70,70,0.294105304990496,0.2326471135020256,-0.07571262283516782,-0.14541873335838318,0.04765772022905627,-0.14029333740472794,PASS
1,Day 1,5,Tray 5,DJI_20260618124331_0005,70,70,70,70,0.2742431076509612,0.20347792655229568,-0.078565844401185,-0.13656846433877945,0.042933194503919886,-0.13912168145179749,PASS
1,Day 1,6,Tray 6,DJI_20260618124449_0006,70,70,70,70,0.2982930534652301,0.22884510457515717,-0.06040032284966271,-0.14572182297706604,0.04748160480355312,-0.13971690833568573,PASS
1,Day 1,7,Tray 7,DJI_20260618124541_0007,70,70,70,70,0.28906289296490806,0.22473761439323425,-0.0750132572620974,-0.14791909605264664,0.06008771060400509,-0.12736157327890396,PASS
1,Day 1,8,Tray 8,DJI_20260618124632_0008,70,70,70,70,0.2782942616513797,0.2019343078136444,-0.07374843888101168,-0.14183616638183594,0.032700724995187815,-0.14671294391155243,PASS
2,Day 2,1,Tray 1,DJI_20260620131000_0001,70,70,70,70,0.2970651081630162,0.22684623301029205,-0.057039108186810544,-0.08137504011392593,0.054682995401857885,-0.07706477865576744,PASS
2,Day 2,2,Tray 2,DJI_20260620131052_0002,70,70,70,70,0.3092743286064693,0.24173271656036377,-0.043013435923161786,-0.07827137783169746,0.08947107062641797,-0.06933282315731049,PASS
2,Day 2,3,Tray 3,DJI_20260620131152_0003,70,70,70,70,0.30171251722744535,0.22655904293060303,-0.05280597853208227,-0.08721642196178436,0.07481543285373066,-0.06254361011087894,PASS
2,Day 2,4,Tray 4,DJI_20260620131233_0004,70,70,70,70,0.2913136961204665,0.2145535871386528,-0.06259411624632776,-0.09479011222720146,0.07370988054566883,-0.07979831099510193,PASS
2,Day 2,5,Tray 5,DJI_20260620131340_0005,70,70,70,70,0.3055812514254025,0.22827528417110443,-0.046407969061484824,-0.07866062223911285,0.0668127678118513,-0.0751209445297718,PASS
2,Day 2,6,Tray 6,DJI_20260620131437_0006,70,70,70,70,0.29725568847996847,0.23016571998596191,-0.05502411186295961,-0.08154506981372833,0.08276780910257782,-0.059741007164120674,PASS
2,Day 2,7,Tray 7,DJI_20260620131539_0007,70,70,70,70,0.29659645642553056,0.21505998075008392,-0.05539942252923668,-0.09166598320007324,0.08923604721619216,-0.07162884622812271,PASS
2,Day 2,8,Tray 8,DJI_20260620131623_0008,70,70,70,70,0.3091434772525515,0.2448802813887596,-0.03840407238957206,-0.07812865078449249,0.0880199336912483,-0.058585045859217644,PASS
3,Day 3,4,Tray 4,DJI_20260621125808_0004,70,70,70,70,0.28064127351556506,0.20841244608163834,-0.06506328779006643,-0.09398072957992554,0.06214793800359725,-0.07729578390717506,PASS
3,Day 3,5,Tray 5,DJI_20260621125931_0005,70,70,70,70,0.2921226256660053,0.21165518462657928,-0.05543345519316582,-0.08311854675412178,0.052613779910773574,-0.07392245158553123,PASS
3,Day 3,7,Tray 7,DJI_20260621130015_0007,70,70,70,70,0.28955267178160804,0.21334660053253174,-0.054881530554432956,-0.1111118458211422,0.07359796420039078,-0.09602133184671402,PASS
3,Day 3,9,Tray 9,DJI_20260621130058_0009,70,70,70,70,0.2941984666245324,0.21827363222837448,-0.059164649828536704,-0.11241541802883148,0.05576572639661858,-0.09351805597543716,PASS
4,Day 4,1,Tray 1,DJI_20260622122222_0001,70,70,70,70,0.29124897697142194,0.21472948044538498,-0.0621318219296102,-0.12603043019771576,0.04241075378127529,-0.11640999093651772,PASS
4,Day 4,2,Tray 2,DJI_20260622122329_0002,70,70,70,70,0.29502187967300414,0.24212860316038132,-0.06283304993994535,-0.11808875948190689,0.05748854345043323,-0.10981595143675804,PASS
4,Day 4,3,Tray 3,DJI_20260622122437_0003,70,70,70,70,0.27668786623648234,0.20203404128551483,-0.07931753357178033,-0.1383695900440216,0.03178480855089479,-0.12553493306040764,PASS
4,Day 4,5,Tray 5,DJI_20260622122624_0005,70,70,70,70,0.2857724083321435,0.2115597426891327,-0.07157635795759104,-0.12338016927242279,0.027198294194282165,-0.11368607729673386,PASS
4,Day 4,6,Tray 6,DJI_20260622122657_0006,70,70,70,70,0.29512834761823925,0.2198115736246109,-0.06074025141507653,-0.09881406649947166,0.07385260517309819,-0.07565547898411751,PASS
4,Day 4,7,Tray 7,DJI_20260622122752_0007,70,70,70,70,0.2881420297282083,0.2229270339012146,-0.06389417549861329,-0.12076429650187492,0.060910778632387516,-0.09078085422515869,PASS
4,Day 4,8,Tray 8,DJI_20260622122838_0008,70,70,70,70,0.28464249117033824,0.2074979767203331,-0.06318694910566722,-0.12457187473773956,0.05683883633755613,-0.09625248238444328,PASS
9,Day 9,1,Tray 1,DJI_20260627101229_0001,70,70,70,70,0.28887976514441627,0.20366908609867096,-0.07507757041935942,-0.11641520261764526,0.035527500134360575,-0.11423667520284653,PASS
9,Day 9,3,Tray 3,DJI_20260627101610_0003,70,70,70,70,0.2710667341947556,0.17556028068065643,-0.09790101558236139,-0.1511969119310379,0.019862249307334424,-0.14213277399539948,PASS
9,Day 9,5,Tray 5,DJI_20260627101808_0005,70,70,70,70,0.2851356742637498,0.20508460700511932,-0.0878318701138986,-0.14474084228277206,0.008432203105517797,-0.14434511959552765,PASS
9,Day 9,6,Tray 6,DJI_20260627101858_0006,70,70,70,70,0.2923201480082103,0.21450155228376389,-0.07921980530289667,-0.12924303114414215,0.037790094397496435,-0.13309406489133835,PASS
9,Day 9,7,Tray 7,DJI_20260627101933_0007,70,70,70,70,0.28138409427234107,0.18860358744859695,-0.09148952433107686,-0.1450551226735115,0.022689135362660245,-0.15303395688533783,PASS
9,Day 9,8,Tray 8,DJI_20260627102037_0008,70,70,70,70,0.28584761726004737,0.22271132469177246,-0.09006945752605264,-0.15368370711803436,0.041480414620933256,-0.12857623398303986,PASS
