day_order,group,tray_count,mean_ndvi,sd_ndvi,mean_ndre,sd_ndre,mean_gndvi,sd_gndvi,group_type
1,Microbes,4,0.2849733289331198,0.010861049429029978,-0.0719319658484892,0.007953637866992234,0.045800808726666475,0.01135452987148051,Treatment
1,No Microbes,4,0.29240447064595565,0.007212799498047455,-0.06266739526264636,0.013019564772944841,0.06838172578469053,0.016862706347070277,Treatment
2,Microbes,4,0.30214421839586325,0.006204251451145964,-0.048808893960813296,0.008084733611029848,0.0817091394554674,0.010319934332660374,Treatment
2,No Microbes,4,0.2998414125293493,0.0075918981287966016,-0.053863159722095585,0.0082694294253035,0.07316984485691884,0.01426526273578169,Treatment
3,Microbes,2,0.2908376487238067,0.0018172318189940138,-0.05515749287379939,0.00039026965475194597,0.06310587205558217,0.014838059008856541,Treatment
3,No Microbes,1,0.28064127351556506,,-0.06506328779006643,,0.06214793800359725,,Treatment
3,Unknown,1,0.2941984666245324,,-0.059164649828536704,,0.05576572639661858,,Treatment
4,Microbes,4,0.28842131921223235,0.004703137352722756,-0.06484943349423702,0.004683775623568586,0.054700128584331,0.0197172893604748,Treatment
4,No Microbes,3,0.28765290762696943,0.00968157002867943,-0.06809413514711195,0.009726069829574325,0.04389470192753444,0.012915961966575582,Treatment
9,Microbes,4,0.28617188345108713,0.004542501525483838,-0.08715266431848119,0.005498715306270953,0.027597961871651932,0.015144030138830646,Treatment
9,No Microbes,2,0.2799732496695859,0.01259571497799092,-0.0864892930008604,0.016138612844798002,0.0276948747208475,0.011077005088778364,Treatment
1,Inside,4,0.2816346690058708,0.006713801114335703,-0.0703495564444373,0.008078487172229004,0.05354881637753611,0.01920131300752986,Environment
1,Outside,4,0.29574313057320456,0.005387689560676326,-0.06424980466669825,0.014139460083903942,0.06063371813382089,0.01873642924697326,Environment
2,Inside,4,0.30526604136185986,0.005728744435964363,-0.046216146390257305,0.007925889067166184,0.07474669188284387,0.016916317025621515,Environment
2,Outside,4,0.2967195895633527,0.004260499751309639,-0.056455907292651576,0.00424914843719837,0.08013229242954237,0.007287904808752589,Environment
3,Inside,1,0.2921226256660053,,-0.05543345519316582,,0.052613779910773574,,Environment
3,Outside,2,0.2850969726485866,0.0063013101437730135,-0.05997240917224969,0.0071995895857116235,0.06787295110199401,0.008096391168516319,Environment
3,Unknown,1,0.2941984666245324,,-0.059164649828536704,,0.05576572639661858,,Environment
4,Inside,4,0.28917143903672693,0.004851412097381814,-0.06493204473320345,0.004451190247746707,0.045984106940886706,0.014327744914801968,Environment
4,Outside,3,0.2866527478609766,0.009310011211474433,-0.06798398682849005,0.00994101456683057,0.05551606411879351,0.021546509849025508,Environment
9,Inside,3,0.2866210188894045,0.00198825719938129,-0.08432629935310355,0.008087393864785155,0.02848003928693721,0.017615223512316945,Environment
9,Outside,3,0.281590325491769,0.010628207664906958,-0.08953678173877831,0.00949246053982987,0.026780493022497034,0.00963879209339741,Environment
1,Microbes | Inside,2,0.2762686846511705,0.002864598465326911,-0.07615714164109834,0.0034064201110400607,0.03781695974955385,0.0072354485779090255,Treatment x Environment
1,Microbes | Outside,2,0.29367797321506905,0.006526709081217917,-0.06770679005588005,0.010332905016066828,0.053784657703779104,0.008913862895854663,Treatment x Environment
1,No Microbes | Inside,2,0.2870006533605712,0.0034415548029133694,-0.06454197124777628,0.007019258061704385,0.06928067300551838,0.00798462871161099,Treatment x Environment
1,No Microbes | Outside,2,0.29780828793134007,0.005236808696177941,-0.06079281927751644,0.021099788539172937,0.06748277856386267,0.028036866371920984,Treatment x Environment
2,Microbes | Inside,2,0.307362364338977,0.0025188740384948895,-0.042406020725528445,0.005659609612625958,0.0774163507515498,0.01499573080306959,Treatment x Environment
2,Microbes | Outside,2,0.2969260724527495,0.0004661474560685645,-0.05521176719609815,0.0002653847171761564,0.08600192815938498,0.004573735032465988,Treatment x Environment
2,No Microbes | Inside,2,0.3031697183847427,0.008633222568567153,-0.050026272054986165,0.009917647968326112,0.07207703301413793,0.024598883895714168,Treatment x Environment
2,No Microbes | Outside,2,0.2965131066739559,0.0073530769210905615,-0.05770004738920501,0.006921258552930775,0.07426265669969975,0.0007817435339869582,Treatment x Environment
3,Microbes | Inside,1,0.2921226256660053,,-0.05543345519316582,,0.052613779910773574,,Treatment x Environment
3,Microbes | Outside,1,0.28955267178160804,,-0.054881530554432956,,0.07359796420039078,,Treatment x Environment
3,No Microbes | Outside,1,0.28064127351556506,,-0.06506328779006643,,0.06214793800359725,,Treatment x Environment
3,Unknown | Unknown,1,0.2941984666245324,,-0.059164649828536704,,0.05576572639661858,,Treatment x Environment
4,Microbes | Inside,2,0.2852074497512409,0.0007989720872915847,-0.06738165353162913,0.005932207889341784,0.04201856526591915,0.020959028347554667,Treatment x Environment
4,Microbes | Outside,2,0.2916351886732238,0.004940072755565802,-0.062317213456844905,0.00223016110681641,0.06738169190274285,0.00915125330787655,Treatment x Environment
4,No Microbes | Inside,2,0.29313542832221307,0.002667845085045802,-0.06248243593477777,0.0004958430812659334,0.049949648615854256,0.010661607320366051,Treatment x Environment
4,No Microbes | Outside,1,0.27668786623648234,,-0.07931753357178033,,0.03178480855089479,,Treatment x Environment
9,Microbes | Inside,2,0.28549164576189856,0.0005034197205002972,-0.08895066381997563,0.0015822132326317696,0.024956308863225526,0.023368614468637618,Treatment x Environment
9,Microbes | Outside,2,0.2868521211402757,0.007732957756053627,-0.08535466481698677,0.008676001528079829,0.03023961488007834,0.010677990535952933,Treatment x Environment
9,No Microbes | Inside,1,0.28887976514441627,,-0.07507757041935942,,0.035527500134360575,,Treatment x Environment
9,No Microbes | Outside,1,0.2710667341947556,,-0.09790101558236139,,0.019862249307334424,,Treatment x Environment
