day_order,day,tray_no,tray,treatment,environment,interaction,tracked_emergence_percent,mean_green_cover_percent,mean_cell_ndvi,mean_cell_ndre,mean_cell_gndvi
1,Day 1,1,Tray 1,No Microbes,Inside,No Microbes | Inside,5.714285714285714,0.02295436132865244,0.284567106621606,-0.06950533622210579,0.06363468789828143
1,Day 1,2,Tray 2,No Microbes,Inside,No Microbes | Inside,7.142857142857142,0.049115581960572516,0.28943420009953635,-0.059578606273446764,0.07492665811275531
1,Day 1,3,Tray 3,No Microbes,Outside,No Microbes | Outside,30.0,0.47782203618687547,0.3015112708721842,-0.04587301571986505,0.08730783689866907
1,Day 1,4,Tray 4,No Microbes,Outside,No Microbes | Outside,14.285714285714285,0.11899135835808802,0.294105304990496,-0.07571262283516782,0.04765772022905627
1,Day 1,5,Tray 5,Microbes,Inside,Microbes | Inside,2.857142857142857,0.021266540642722116,0.2742431076509612,-0.078565844401185,0.042933194503919886
1,Day 1,6,Tray 6,Microbes,Outside,Microbes | Outside,25.71428571428571,0.40102619497704567,0.2982930534652301,-0.06040032284966271,0.04748160480355312
1,Day 1,7,Tray 7,Microbes,Outside,Microbes | Outside,25.71428571428571,0.2681947069943289,0.28906289296490806,-0.0750132572620974,0.06008771060400509
1,Day 1,8,Tray 8,Microbes,Inside,Microbes | Inside,7.142857142857142,0.0811841749932487,0.2782942616513797,-0.07374843888101168,0.032700724995187815
2,Day 2,1,Tray 1,No Microbes,Inside,No Microbes | Inside,30.0,0.38195382122603283,0.2970651081630162,-0.057039108186810544,0.054682995401857885
2,Day 2,2,Tray 2,No Microbes,Inside,No Microbes | Inside,37.142857142857146,0.8194369430191737,0.3092743286064693,-0.043013435923161786,0.08947107062641797
2,Day 2,3,Tray 3,No Microbes,Outside,No Microbes | Outside,45.714285714285715,0.351235484742101,0.30171251722744535,-0.05280597853208227,0.07481543285373066
2,Day 2,4,Tray 4,No Microbes,Outside,No Microbes | Outside,31.428571428571427,0.16236834998649743,0.2913136961204665,-0.06259411624632776,0.07370988054566883
2,Day 2,5,Tray 5,Microbes,Inside,Microbes | Inside,38.57142857142858,0.9561504185795302,0.3055812514254025,-0.046407969061484824,0.0668127678118513
2,Day 2,6,Tray 6,Microbes,Outside,Microbes | Outside,41.42857142857143,0.1372198217661356,0.29725568847996847,-0.05502411186295961,0.08276780910257782
2,Day 2,7,Tray 7,Microbes,Outside,Microbes | Outside,41.42857142857143,0.1819470699432892,0.29659645642553056,-0.05539942252923668,0.08923604721619216
2,Day 2,8,Tray 8,Microbes,Inside,Microbes | Inside,45.714285714285715,1.3235889819065625,0.3091434772525515,-0.03840407238957206,0.0880199336912483
3,Day 3,4,Tray 4,No Microbes,Outside,No Microbes | Outside,32.857142857142854,0.21232784229003507,0.28064127351556506,-0.06506328779006643,0.06214793800359725
3,Day 3,5,Tray 5,Microbes,Inside,Microbes | Inside,44.285714285714285,1.2157372400756141,0.2921226256660053,-0.05543345519316582,0.052613779910773574
3,Day 3,7,Tray 7,Microbes,Outside,Microbes | Outside,50.0,0.24912233324331626,0.28955267178160804,-0.054881530554432956,0.07359796420039078
3,Day 3,9,Tray 9,Unknown,Unknown,Unknown | Unknown,47.14285714285714,1.539123683499865,0.2941984666245324,-0.059164649828536704,0.05576572639661858
4,Day 4,1,Tray 1,No Microbes,Inside,No Microbes | Inside,41.42857142857143,0.7218809073724008,0.29124897697142194,-0.0621318219296102,0.04241075378127529
4,Day 4,2,Tray 2,No Microbes,Inside,No Microbes | Inside,44.285714285714285,1.0462800432082096,0.29502187967300414,-0.06283304993994535,0.05748854345043323
4,Day 4,3,Tray 3,No Microbes,Outside,No Microbes | Outside,51.42857142857142,0.5262624898730758,0.27668786623648234,-0.07931753357178033,0.03178480855089479
4,Day 4,5,Tray 5,Microbes,Inside,Microbes | Inside,64.28571428571429,1.394815014852822,0.2857724083321435,-0.07157635795759104,0.027198294194282165
4,Day 4,6,Tray 6,Microbes,Outside,Microbes | Outside,41.42857142857143,0.216884958142047,0.29512834761823925,-0.06074025141507653,0.07385260517309819
4,Day 4,7,Tray 7,Microbes,Outside,Microbes | Outside,52.85714285714286,0.3362138806373211,0.2881420297282083,-0.06389417549861329,0.060910778632387516
4,Day 4,8,Tray 8,Microbes,Inside,Microbes | Inside,57.14285714285714,2.0186335403726705,0.28464249117033824,-0.06318694910566722,0.05683883633755613
9,Day 9,1,Tray 1,No Microbes,Inside,No Microbes | Inside,51.42857142857142,2.9049081825546854,0.28887976514441627,-0.07507757041935942,0.035527500134360575
9,Day 9,3,Tray 3,No Microbes,Outside,No Microbes | Outside,60.0,1.3683162300837157,0.2710667341947556,-0.09790101558236139,0.019862249307334424
9,Day 9,5,Tray 5,Microbes,Inside,Microbes | Inside,78.57142857142857,5.377565487442614,0.2851356742637498,-0.0878318701138986,0.008432203105517797
9,Day 9,6,Tray 6,Microbes,Outside,Microbes | Outside,48.57142857142857,1.0265325411828248,0.2923201480082103,-0.07921980530289667,0.037790094397496435
9,Day 9,7,Tray 7,Microbes,Outside,Microbes | Outside,60.0,1.35295706184175,0.28138409427234107,-0.09148952433107686,0.022689135362660245
9,Day 9,8,Tray 8,Microbes,Inside,Microbes | Inside,68.57142857142857,5.008439103429652,0.28584761726004737,-0.09006945752605264,0.041480414620933256
