day_order,day,tray_no,tray,capture_id,sequence,status,notes,crop_d,crop_ms_g,crop_ms_r,crop_ms_re,crop_ms_nir,microbe_status,stress_type,assigned_environment,treatment_group,design_group,actual_environment,watering_regime
1,Day 1,1,Tray 1,DJI_20260629153749_0001,0001,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_NIR.TIF,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,2,Tray 2,DJI_20260629153956_0003,0003,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_NIR.TIF,No Microbe,Ideal,Outside,No Microbe | Ideal,No Microbe | Ideal | Outside,Outside,Always watered
1,Day 1,3,Tray 3,DJI_20260629154053_0004,0004,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_NIR.TIF,No Microbe,Moisture,Outside,No Microbe | Moisture,No Microbe | Moisture | Outside,Outside,Moisture treatment
1,Day 1,4,Tray 4,DJI_20260629154141_0005,0005,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_NIR.TIF,No Microbe,Heat,Alternating,No Microbe | Heat,No Microbe | Heat | Alternating,Inside,Always watered
1,Day 1,5,Tray 5,DJI_20260629154235_0006,0006,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_NIR.TIF,Microbe,Moisture,Inside,Microbe | Moisture,Microbe | Moisture | Inside,Inside,Moisture treatment
1,Day 1,6,Tray 6,DJI_20260629154321_0007,0007,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_NIR.TIF,Microbe,Heat,Alternating,Microbe | Heat,Microbe | Heat | Alternating,Inside,Always watered
1,Day 1,7,Tray 7,DJI_20260629154404_0008,0008,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_NIR.TIF,Microbe,Ideal,Outside,Microbe | Ideal,Microbe | Ideal | Outside,Outside,Always watered
1,Day 1,8,Tray 8,DJI_20260629154446_0009,0009,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_NIR.TIF,Microbe,Heat,Alternating,Microbe | Heat,Microbe | Heat | Alternating,Inside,Always watered
1,Day 1,9,Tray 9,DJI_20260629154539_0010,0010,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_NIR.TIF,Microbe,Ideal,Inside,Microbe | Ideal,Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,10,Tray 10,DJI_20260629154609_0011,0011,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_NIR.TIF,Microbe,Moisture,Outside,Microbe | Moisture,Microbe | Moisture | Outside,Outside,Moisture treatment
1,Day 1,11,Tray 11,DJI_20260629154652_0012,0012,PASS,RGB and all four multispectral bands were cropped.,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_NIR.TIF,No Microbe,Heat,Alternating,No Microbe | Heat,No Microbe | Heat | Alternating,Inside,Always watered
