day_order,day,tray_no,tray,sequence,capture_id,source_d,source_ms_g,source_ms_r,source_ms_re,source_ms_nir,bands_found,missing_bands,complete_set,microbe_status,stress_type,assigned_environment,treatment_group,design_group,actual_environment,watering_regime
1,Day 1,1,Tray 1,0001,DJI_20260629153749_0001,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 1\DJI_20260629153749_0001_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 1\DJI_20260629153750_0001_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 1\DJI_20260629153750_0001_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 1\DJI_20260629153750_0001_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 1\DJI_20260629153750_0001_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,2,Tray 2,0003,DJI_20260629153956_0003,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 2\DJI_20260629153956_0003_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 2\DJI_20260629153956_0003_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 2\DJI_20260629153956_0003_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 2\DJI_20260629153956_0003_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 2\DJI_20260629153956_0003_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,No Microbe,Ideal,Outside,No Microbe | Ideal,No Microbe | Ideal | Outside,Outside,Always watered
1,Day 1,3,Tray 3,0004,DJI_20260629154053_0004,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 3\DJI_20260629154053_0004_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 3\DJI_20260629154053_0004_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 3\DJI_20260629154053_0004_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 3\DJI_20260629154053_0004_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 3\DJI_20260629154053_0004_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,No Microbe,Moisture,Outside,No Microbe | Moisture,No Microbe | Moisture | Outside,Outside,Moisture treatment
1,Day 1,4,Tray 4,0005,DJI_20260629154141_0005,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 4\DJI_20260629154141_0005_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 4\DJI_20260629154141_0005_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 4\DJI_20260629154141_0005_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 4\DJI_20260629154141_0005_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 4\DJI_20260629154141_0005_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,No Microbe,Heat,Alternating,No Microbe | Heat,No Microbe | Heat | Alternating,Inside,Always watered
1,Day 1,5,Tray 5,0006,DJI_20260629154235_0006,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 5\DJI_20260629154235_0006_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 5\DJI_20260629154235_0006_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 5\DJI_20260629154235_0006_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 5\DJI_20260629154235_0006_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 5\DJI_20260629154235_0006_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,Microbe,Moisture,Inside,Microbe | Moisture,Microbe | Moisture | Inside,Inside,Moisture treatment
1,Day 1,6,Tray 6,0007,DJI_20260629154321_0007,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 6\DJI_20260629154321_0007_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 6\DJI_20260629154321_0007_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 6\DJI_20260629154321_0007_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 6\DJI_20260629154321_0007_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 6\DJI_20260629154321_0007_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,Microbe,Heat,Alternating,Microbe | Heat,Microbe | Heat | Alternating,Inside,Always watered
1,Day 1,7,Tray 7,0008,DJI_20260629154404_0008,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 7\DJI_20260629154404_0008_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 7\DJI_20260629154404_0008_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 7\DJI_20260629154404_0008_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 7\DJI_20260629154404_0008_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 7\DJI_20260629154404_0008_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,Microbe,Ideal,Outside,Microbe | Ideal,Microbe | Ideal | Outside,Outside,Always watered
1,Day 1,8,Tray 8,0009,DJI_20260629154446_0009,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 8\DJI_20260629154446_0009_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 8\DJI_20260629154446_0009_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 8\DJI_20260629154446_0009_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 8\DJI_20260629154446_0009_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 8\DJI_20260629154446_0009_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,Microbe,Heat,Alternating,Microbe | Heat,Microbe | Heat | Alternating,Inside,Always watered
1,Day 1,9,Tray 9,0010,DJI_20260629154539_0010,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 9\DJI_20260629154539_0010_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 9\DJI_20260629154539_0010_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 9\DJI_20260629154539_0010_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 9\DJI_20260629154539_0010_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 9\DJI_20260629154539_0010_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,Microbe,Ideal,Inside,Microbe | Ideal,Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,10,Tray 10,0011,DJI_20260629154609_0011,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 10\DJI_20260629154609_0011_D.JPG,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 10\DJI_20260629154609_0011_MS_G.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 10\DJI_20260629154609_0011_MS_R.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 10\DJI_20260629154609_0011_MS_RE.TIF,C:\Users\rahma\Downloads\RINA_Internship_Analysis\dataset\Third Trial\Day 1\Tray 10\DJI_20260629154609_0011_MS_NIR.TIF,"D, MS_G, MS_NIR, MS_R, MS_RE",,True,Microbe,Moisture,Outside,Microbe | Moisture,Microbe | Moisture | Outside,Outside,Moisture treatment
