day_order,day,tray_no,tray,row,column,cell_number,green_pixels,cell_pixels,green_cover_pct,emerged_proxy,microbe_status,stress_type,assigned_environment,treatment_group,design_group,actual_environment,watering_regime
1,Day 1,1,Tray 1,1,1,1,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,2,2,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,3,3,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,4,4,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,5,5,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,6,6,2,8464,0.023629489603024575,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,7,7,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,8,8,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,9,9,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,1,10,10,1,8464,0.011814744801512287,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,1,11,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,2,12,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,3,13,1,8464,0.011814744801512287,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,4,14,2,8464,0.023629489603024575,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,5,15,12,8464,0.14177693761814744,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,6,16,2,8464,0.023629489603024575,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
1,Day 1,1,Tray 1,2,7,17,0,8464,0.0,0,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered
