day_order,day,microbe_status,stress_type,actual_environment,mean_ndvi_mean,mean_ndvi_std,mean_ndvi_min,mean_ndvi_max,mean_ndre_mean,mean_ndre_std,mean_ndre_min,mean_ndre_max,mean_gndvi_mean,mean_gndvi_std,mean_gndvi_min,mean_gndvi_max,mean_ndvi_vegetation_pct_proxy_mean,mean_ndvi_vegetation_pct_proxy_std,mean_ndvi_vegetation_pct_proxy_min,mean_ndvi_vegetation_pct_proxy_max,n_trays
1,Day 1,Microbe,Heat,Inside,0.3129440568387508,0.011538040115658956,0.30478543043136597,0.3211026832461357,-0.03587556398997549,0.022365251775147862,-0.05169018518312701,-0.020060942796823966,0.12769471928352558,0.03228000709995235,0.10486930736639936,0.15052013120065177,69.27921617607345,0.594944522045452,68.85852687010532,69.69990548204159,2
1,Day 1,Microbe,Ideal,Inside,0.3285934939980507,,0.3285934939980507,0.3285934939980507,-0.016500947799067946,,-0.016500947799067946,-0.016500947799067946,0.15522865039695585,,0.15522865039695585,0.15522865039695585,72.16091682419658,,72.16091682419658,72.16091682419658,1
1,Day 1,Microbe,Ideal,Outside,0.32565512252705436,,0.32565512252705436,0.32565512252705436,-0.029057813447434456,,-0.029057813447434456,-0.029057813447434456,0.16053182843274305,,0.16053182843274305,0.16053182843274305,72.60346340804752,,72.60346340804752,72.60346340804752,1
1,Day 1,Microbe,Moisture,Inside,0.3114048830100468,,0.3114048830100468,0.3114048830100468,-0.037488668199927945,,-0.037488668199927945,-0.037488668199927945,0.10530992866759854,,0.10530992866759854,0.10530992866759854,70.31866054550366,,70.31866054550366,70.31866054550366,1
1,Day 1,Microbe,Moisture,Outside,0.30879942221300943,,0.30879942221300943,0.30879942221300943,-0.03594765435970788,,-0.03594765435970788,-0.03594765435970788,0.12044767937955579,,0.12044767937955579,0.12044767937955579,67.52514852822037,,67.52514852822037,67.52514852822037,1
1,Day 1,No Microbe,Heat,Inside,0.3151978103177888,0.0018683782238576622,0.3138766674058778,0.3165189532296998,-0.047242255668554986,0.0009914518712114673,-0.04794331800990871,-0.04654119332720127,0.10492526200125993,0.009507503273335174,0.09820244196453132,0.11164808203798852,78.23352687010531,2.8862865238008846,76.19261409667835,80.27443964353226,2
1,Day 1,No Microbe,Ideal,Inside,0.3130447506904602,,0.3130447506904602,0.3130447506904602,-0.03516430604088652,,-0.03516430604088652,-0.03516430604088652,0.13195389644908054,,0.13195389644908054,0.13195389644908054,70.63934647583042,,70.63934647583042,70.63934647583042,1
1,Day 1,No Microbe,Ideal,Outside,0.30454211703368594,,0.30454211703368594,0.30454211703368594,-0.053213660066415154,,-0.053213660066415154,-0.053213660066415154,0.09460953494957981,,0.09460953494957981,0.09460953494957981,76.66233459357278,,76.66233459357278,76.66233459357278,1
1,Day 1,No Microbe,Moisture,Inside,0.31506035796233584,,0.31506035796233584,0.31506035796233584,-0.05433930740691721,,-0.05433930740691721,-0.05433930740691721,0.07680348048784903,,0.07680348048784903,0.07680348048784903,84.28773967053739,,84.28773967053739,84.28773967053739,1
1,Day 1,No Microbe,Moisture,Outside,0.30467844499008995,,0.30467844499008995,0.30467844499008995,-0.06077373969185698,,-0.06077373969185698,-0.06077373969185698,0.08664703246488768,,0.08664703246488768,0.08664703246488768,73.51100459087228,,73.51100459087228,73.51100459087228,1
