day_order,day,tray_no,tray,emerged_cells_proxy,emergence_pct_proxy,mean_green_cover_pct,median_green_cover_pct,total_green_pixels,microbe_status,stress_type,assigned_environment,treatment_group,design_group,actual_environment,watering_regime,newly_emerged_today_proxy,microbe_stress_group,mean_ndvi,median_ndvi,mean_ndre,median_ndre,mean_gndvi,median_gndvi,mean_ndvi_vegetation_pct_proxy,between_cell_ndvi_std,between_cell_ndre_std,between_cell_gndvi_std
1,Day 1,9,Tray 9,2,2.857142857142857,0.03932622198217661,0.011814744801512287,233,Microbe,Ideal,Inside,Microbe | Ideal,Microbe | Ideal | Inside,Inside,Always watered,2.0,Microbe | Ideal,0.3285934939980507,0.3536485284566879,-0.016500947799067946,-0.05974762886762619,0.15522865039695585,0.21995791792869568,72.16091682419658,0.07021458471890796,0.06308629799145311,0.11002310856876776
1,Day 1,8,Tray 8,1,1.4285714285714286,0.03510667026735079,0.011814744801512287,208,Microbe,Heat,Alternating,Microbe | Heat,Microbe | Heat | Alternating,Inside,Always watered,1.0,Microbe | Heat,0.30478543043136597,0.30742955207824707,-0.05169018518312701,-0.09641588106751442,0.10486930736639936,0.03389922436326742,68.85852687010532,0.05740874293308285,0.053270852579720654,0.1065969259592827
1,Day 1,4,Tray 4,1,1.4285714285714286,0.021941668917094242,0.0,130,No Microbe,Heat,Alternating,No Microbe | Heat,No Microbe | Heat | Alternating,Inside,Always watered,1.0,No Microbe | Heat,0.3165189532296998,0.2548675388097763,-0.04794331800990871,-0.09951020032167435,0.09820244196453132,-0.04284273646771908,80.27443964353226,0.056503077866032425,0.05489820614507881,0.109772316059767
1,Day 1,5,Tray 5,1,1.4285714285714286,0.02025384823116392,0.0,120,Microbe,Moisture,Inside,Microbe | Moisture,Microbe | Moisture | Inside,Inside,Moisture treatment,1.0,Microbe | Moisture,0.3114048830100468,0.2891339957714081,-0.037488668199927945,-0.07878613099455833,0.10530992866759854,-0.011325562372803688,70.31866054550366,0.05398638240703087,0.0537372741351712,0.10329651814315961
1,Day 1,6,Tray 6,1,1.4285714285714286,0.017553335133675397,0.0,104,Microbe,Heat,Alternating,Microbe | Heat,Microbe | Heat | Alternating,Inside,Always watered,1.0,Microbe | Heat,0.3211026832461357,0.34315450489521027,-0.020060942796823966,-0.06713762506842613,0.15052013120065177,0.20829308778047562,69.69990548204159,0.06697960414098957,0.05854090867561915,0.11628043959055619
1,Day 1,11,Tray 11,0,0.0,0.01502160410477991,0.0,89,No Microbe,Heat,Alternating,No Microbe | Heat,No Microbe | Heat | Alternating,Inside,Always watered,0.0,No Microbe | Heat,0.3138766674058778,0.2855457216501236,-0.04654119332720127,-0.09426230564713478,0.11164808203798852,0.08480147272348404,76.19261409667835,0.0632755042790446,0.05206108743354568,0.11064532407865649
1,Day 1,7,Tray 7,0,0.0,0.014515257899000808,0.0,86,Microbe,Ideal,Outside,Microbe | Ideal,Microbe | Ideal | Outside,Outside,Always watered,0.0,Microbe | Ideal,0.32565512252705436,0.36146439611911774,-0.029057813447434456,-0.054308077320456505,0.16053182843274305,0.21233122795820236,72.60346340804752,0.06352333923217568,0.05111248612589076,0.11140624442616576
1,Day 1,10,Tray 10,0,0.0,0.011814744801512286,0.0,70,Microbe,Moisture,Outside,Microbe | Moisture,Microbe | Moisture | Outside,Outside,Moisture treatment,0.0,Microbe | Moisture,0.30879942221300943,0.31398336589336395,-0.03594765435970788,-0.08627951145172119,0.12044767937955579,0.10175835713744164,67.52514852822037,0.06011483028679219,0.05157042313340506,0.11835471146619131
1,Day 1,1,Tray 1,0,0.0,0.011645962732919252,0.0,69,No Microbe,Ideal,Inside,No Microbe | Ideal,No Microbe | Ideal | Inside,Inside,Always watered,0.0,No Microbe | Ideal,0.3130447506904602,0.29695960879325867,-0.03516430604088652,-0.08356402069330215,0.13195389644908054,0.06466635316610336,70.63934647583042,0.0644533124822162,0.05564205599251283,0.11833191161351152
1,Day 1,12,Tray 12,0,0.0,0.0077639751552794995,0.0,46,No Microbe,Moisture,Inside,No Microbe | Moisture,No Microbe | Moisture | Inside,Inside,Moisture treatment,0.0,No Microbe | Moisture,0.31506035796233584,0.2565649449825287,-0.05433930740691721,-0.10466757044196129,0.07680348048784903,-0.07457084953784943,84.28773967053739,0.04749718873152593,0.04979707273807881,0.09682436626511703
1,Day 1,3,Tray 3,0,0.0,0.007595193086686468,0.0,45,No Microbe,Moisture,Outside,No Microbe | Moisture,No Microbe | Moisture | Outside,Outside,Moisture treatment,0.0,No Microbe | Moisture,0.30467844499008995,0.2568996250629425,-0.06077373969185698,-0.10733699053525925,0.08664703246488768,-0.03413762152194977,73.51100459087228,0.055467646661163314,0.04741730990033465,0.10970784541902749
1,Day 1,2,Tray 2,0,0.0,0.005063462057790981,0.0,30,No Microbe,Ideal,Outside,No Microbe | Ideal,No Microbe | Ideal | Outside,Outside,Always watered,0.0,No Microbe | Ideal,0.30454211703368594,0.24621276557445526,-0.053213660066415154,-0.09404660388827324,0.09460953494957981,-0.0458463616669178,76.66233459357278,0.05304113010434199,0.04537990062347305,0.10762728077685728
