source,package_file
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\05_Treatment_Growth_Visuals\charts\emerged_cells_by_actual_environment.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\05_Treatment_Growth_Visuals_emerged_cells_by_actual_environment.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\05_Treatment_Growth_Visuals\charts\emerged_cells_by_microbe_and_stress.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\05_Treatment_Growth_Visuals_emerged_cells_by_microbe_and_stress.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\05_Treatment_Growth_Visuals\charts\green_cover_by_actual_environment.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\05_Treatment_Growth_Visuals_green_cover_by_actual_environment.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\05_Treatment_Growth_Visuals\charts\green_cover_by_microbe_and_stress.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\05_Treatment_Growth_Visuals_green_cover_by_microbe_and_stress.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_01_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_01_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_02_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_02_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_03_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_03_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_04_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_04_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_05_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_05_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_06_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_06_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_07_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_07_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_08_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_08_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_09_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_09_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_10_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_10_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_11_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_11_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\07_MS_Vegetation_Indices\heatmaps\Day_01_Tray_12_indices.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\07_MS_Vegetation_Indices_Day_01_Tray_12_indices.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\08_MS_Treatment_Comparison\charts\mean_gndvi_by_actual_environment.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\08_MS_Treatment_Comparison_mean_gndvi_by_actual_environment.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\08_MS_Treatment_Comparison\charts\mean_gndvi_by_microbe_and_stress.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\08_MS_Treatment_Comparison_mean_gndvi_by_microbe_and_stress.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\08_MS_Treatment_Comparison\charts\mean_ndre_by_actual_environment.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\08_MS_Treatment_Comparison_mean_ndre_by_actual_environment.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\08_MS_Treatment_Comparison\charts\mean_ndre_by_microbe_and_stress.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\08_MS_Treatment_Comparison_mean_ndre_by_microbe_and_stress.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\08_MS_Treatment_Comparison\charts\mean_ndvi_by_actual_environment.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\08_MS_Treatment_Comparison_mean_ndvi_by_actual_environment.png
C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\08_MS_Treatment_Comparison\charts\mean_ndvi_by_microbe_and_stress.png,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\10_Report_Figure_Package\figures\08_MS_Treatment_Comparison_mean_ndvi_by_microbe_and_stress.png
