day_order,day,tray_no,tray,shape_d,shape_ms_g,shape_ms_r,shape_ms_re,shape_ms_nir,shape_pass,finite_pass,nonzero_pass,qa_status,preview_path
1,Day 1,1,Tray 1,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_01_five_band_preview.png
1,Day 1,2,Tray 2,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_02_five_band_preview.png
1,Day 1,3,Tray 3,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_03_five_band_preview.png
1,Day 1,4,Tray 4,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_04_five_band_preview.png
1,Day 1,5,Tray 5,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_05_five_band_preview.png
1,Day 1,6,Tray 6,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_06_five_band_preview.png
1,Day 1,7,Tray 7,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_07_five_band_preview.png
1,Day 1,8,Tray 8,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_08_five_band_preview.png
1,Day 1,9,Tray 9,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_09_five_band_preview.png
1,Day 1,10,Tray 10,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_10_five_band_preview.png
1,Day 1,11,Tray 11,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_11_five_band_preview.png
1,Day 1,12,Tray 12,"(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)","(840, 1200)",True,True,True,PASS,C:\Users\rahma\Downloads\RINA_Internship_Analysis\outputs\Third Trial\02_Crop_Quality_Check\previews\Day_01_Tray_12_five_band_preview.png
