section,relative_path,file_name,suffix,size_kb
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_config\analysis_settings.json,analysis_settings.json,.json,0.36
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_config\crop_points.json,crop_points.json,.json,8.27
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_reports\crop_manifest.csv,crop_manifest.csv,.csv,10.19
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_reports\day_completeness.csv,day_completeness.csv,.csv,0.08
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_reports\raw_dataset_manifest.csv,raw_dataset_manifest.csv,.csv,7.95
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_reports\selected_analysis_manifest.csv,selected_analysis_manifest.csv,.csv,9.18
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_reports\selected_before_day_filter.csv,selected_before_day_filter.csv,.csv,7.95
01_Crop_Dual_Reference,01_Crop_Dual_Reference\_reports\third_trial_tray_design.csv,third_trial_tray_design.csv,.csv,1.06
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_D.JPG,Day_01_Tray_01_D.JPG,.jpg,1648.94
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_G.TIF,Day_01_Tray_01_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_NIR.TIF,Day_01_Tray_01_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_R.TIF,Day_01_Tray_01_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 1\Day_01_Tray_01_MS_RE.TIF,Day_01_Tray_01_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_D.JPG,Day_01_Tray_02_D.JPG,.jpg,1541.38
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_G.TIF,Day_01_Tray_02_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_NIR.TIF,Day_01_Tray_02_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_R.TIF,Day_01_Tray_02_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 2\Day_01_Tray_02_MS_RE.TIF,Day_01_Tray_02_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_D.JPG,Day_01_Tray_03_D.JPG,.jpg,1591.81
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_G.TIF,Day_01_Tray_03_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_NIR.TIF,Day_01_Tray_03_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_R.TIF,Day_01_Tray_03_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 3\Day_01_Tray_03_MS_RE.TIF,Day_01_Tray_03_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_D.JPG,Day_01_Tray_04_D.JPG,.jpg,1609.93
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_G.TIF,Day_01_Tray_04_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_NIR.TIF,Day_01_Tray_04_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_R.TIF,Day_01_Tray_04_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 4\Day_01_Tray_04_MS_RE.TIF,Day_01_Tray_04_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_D.JPG,Day_01_Tray_05_D.JPG,.jpg,1662.17
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_G.TIF,Day_01_Tray_05_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_NIR.TIF,Day_01_Tray_05_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_R.TIF,Day_01_Tray_05_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 5\Day_01_Tray_05_MS_RE.TIF,Day_01_Tray_05_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_D.JPG,Day_01_Tray_06_D.JPG,.jpg,1732.95
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_G.TIF,Day_01_Tray_06_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_NIR.TIF,Day_01_Tray_06_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_R.TIF,Day_01_Tray_06_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 6\Day_01_Tray_06_MS_RE.TIF,Day_01_Tray_06_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_D.JPG,Day_01_Tray_07_D.JPG,.jpg,1844.54
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_G.TIF,Day_01_Tray_07_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_NIR.TIF,Day_01_Tray_07_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_R.TIF,Day_01_Tray_07_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 7\Day_01_Tray_07_MS_RE.TIF,Day_01_Tray_07_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_D.JPG,Day_01_Tray_08_D.JPG,.jpg,1722.11
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_G.TIF,Day_01_Tray_08_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_NIR.TIF,Day_01_Tray_08_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_R.TIF,Day_01_Tray_08_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 8\Day_01_Tray_08_MS_RE.TIF,Day_01_Tray_08_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_D.JPG,Day_01_Tray_09_D.JPG,.jpg,1777.57
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_G.TIF,Day_01_Tray_09_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_NIR.TIF,Day_01_Tray_09_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_R.TIF,Day_01_Tray_09_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 9\Day_01_Tray_09_MS_RE.TIF,Day_01_Tray_09_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_D.JPG,Day_01_Tray_10_D.JPG,.jpg,1647.85
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_G.TIF,Day_01_Tray_10_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_NIR.TIF,Day_01_Tray_10_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_R.TIF,Day_01_Tray_10_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 10\Day_01_Tray_10_MS_RE.TIF,Day_01_Tray_10_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_D.JPG,Day_01_Tray_11_D.JPG,.jpg,1662.02
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_G.TIF,Day_01_Tray_11_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_NIR.TIF,Day_01_Tray_11_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_R.TIF,Day_01_Tray_11_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 11\Day_01_Tray_11_MS_RE.TIF,Day_01_Tray_11_MS_RE.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 12\Day_01_Tray_12_D.JPG,Day_01_Tray_12_D.JPG,.jpg,1570.79
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 12\Day_01_Tray_12_MS_G.TIF,Day_01_Tray_12_MS_G.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 12\Day_01_Tray_12_MS_NIR.TIF,Day_01_Tray_12_MS_NIR.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 12\Day_01_Tray_12_MS_R.TIF,Day_01_Tray_12_MS_R.TIF,.tif,1969.0
01_Crop_Dual_Reference,01_Crop_Dual_Reference\Day 1\Tray 12\Day_01_Tray_12_MS_RE.TIF,Day_01_Tray_12_MS_RE.TIF,.tif,1969.0
02_Crop_Quality_Check,02_Crop_Quality_Check\_reports\crop_quality_check.csv,crop_quality_check.csv,.csv,3.03
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_01_five_band_preview.png,Day_01_Tray_01_five_band_preview.png,.png,2366.57
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_02_five_band_preview.png,Day_01_Tray_02_five_band_preview.png,.png,2316.81
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_03_five_band_preview.png,Day_01_Tray_03_five_band_preview.png,.png,2328.72
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_04_five_band_preview.png,Day_01_Tray_04_five_band_preview.png,.png,2361.14
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_05_five_band_preview.png,Day_01_Tray_05_five_band_preview.png,.png,2403.92
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_06_five_band_preview.png,Day_01_Tray_06_five_band_preview.png,.png,2440.34
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_07_five_band_preview.png,Day_01_Tray_07_five_band_preview.png,.png,2564.04
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_08_five_band_preview.png,Day_01_Tray_08_five_band_preview.png,.png,2396.27
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_09_five_band_preview.png,Day_01_Tray_09_five_band_preview.png,.png,2502.36
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_10_five_band_preview.png,Day_01_Tray_10_five_band_preview.png,.png,2375.25
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_11_five_band_preview.png,Day_01_Tray_11_five_band_preview.png,.png,2406.89
02_Crop_Quality_Check,02_Crop_Quality_Check\previews\Day_01_Tray_12_five_band_preview.png,Day_01_Tray_12_five_band_preview.png,.png,2323.24
03_Cell_Grid_Detection,03_Cell_Grid_Detection\_reports\cell_grid_manifest.csv,cell_grid_manifest.csv,.csv,3.47
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_01_RGB_grid.png,Day_01_Tray_01_RGB_grid.png,.png,5108.29
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_02_RGB_grid.png,Day_01_Tray_02_RGB_grid.png,.png,4861.65
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_03_RGB_grid.png,Day_01_Tray_03_RGB_grid.png,.png,4966.42
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_04_RGB_grid.png,Day_01_Tray_04_RGB_grid.png,.png,4994.46
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_05_RGB_grid.png,Day_01_Tray_05_RGB_grid.png,.png,5153.48
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_06_RGB_grid.png,Day_01_Tray_06_RGB_grid.png,.png,5286.04
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_07_RGB_grid.png,Day_01_Tray_07_RGB_grid.png,.png,5575.65
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_08_RGB_grid.png,Day_01_Tray_08_RGB_grid.png,.png,5235.72
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_09_RGB_grid.png,Day_01_Tray_09_RGB_grid.png,.png,5378.23
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_10_RGB_grid.png,Day_01_Tray_10_RGB_grid.png,.png,5136.11
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_11_RGB_grid.png,Day_01_Tray_11_RGB_grid.png,.png,5127.06
03_Cell_Grid_Detection,03_Cell_Grid_Detection\overlays\Day_01_Tray_12_RGB_grid.png,Day_01_Tray_12_RGB_grid.png,.png,4910.53
04_Visible_Emergence,04_Visible_Emergence\_reports\rgb_cell_metrics.csv,rgb_cell_metrics.csv,.csv,115.7
04_Visible_Emergence,04_Visible_Emergence\_reports\rgb_tray_summary.csv,rgb_tray_summary.csv,.csv,2.16
04_Visible_Emergence,04_Visible_Emergence\_reports\third_trial_rgb_analysis.xlsx,third_trial_rgb_analysis.xlsx,.xlsx,58.84
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_01_emergence_overlay.png,Day_01_Tray_01_emergence_overlay.png,.png,5438.26
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_02_emergence_overlay.png,Day_01_Tray_02_emergence_overlay.png,.png,5173.79
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_03_emergence_overlay.png,Day_01_Tray_03_emergence_overlay.png,.png,5286.39
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_04_emergence_overlay.png,Day_01_Tray_04_emergence_overlay.png,.png,5314.39
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_05_emergence_overlay.png,Day_01_Tray_05_emergence_overlay.png,.png,5484.96
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_06_emergence_overlay.png,Day_01_Tray_06_emergence_overlay.png,.png,5631.02
04_Visible_Emergence,04_Visible_Emergence\overlays\Day_01_Tray_07_emergence_overlay.png,Day_01_Tray_07_emergence_overlay.png,.png,5945.22
